Tag,ChemicalName,SMILES,MW (g/mol),logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
2MethylSt,2 methylstyrene,*CC(*)c1ccccc1C,118.17899999999996,2.553020000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.461740241498068,8.461740241498068,8.461740241498068,8.461740241498068,0.0,0.0,0.0,0.0
vinyl cyclopentene,vinylcyclopentane,*CC(*)C1CCCC1,96.173,2.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.98964366298233,20.79585746519293,0.0,0.0,0.0,0.0
vinyl alcohol,vinyl alcohol,*CC(*)O,44.053,-0.1783,0.0,0.0,22.699929630218147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.699929630218147,22.699929630218147,0.0,0.0,0.0,0.0
vinyl methyl ether,vinyl methyl ether,*CC(*)OC,58.08,0.4758,0.0,0.0,0.0,17.21763085399449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21763085399449,17.21763085399449,17.21763085399449,0.0,0.0,0.0,0.0
vinyl ethyl ether,vinyl ethyl ether,*CC(*)OCC,72.107,0.8659,0.0,0.0,0.0,13.86827908524831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86827908524831,27.73655817049662,13.86827908524831,0.0,0.0,0.0,0.0
vinyl isopropyl ether,vinyl isopropyl ether,*CC(*)OC(C)C,86.134,1.2544,0.0,0.0,0.0,11.609817261476303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21963452295261,11.609817261476303,23.21963452295261,0.0,0.0,0.0,0.0
vinyl hexyl ether,vinyl hexyl ether,*CC(*)OCCCCCC,128.215,2.4263000000000003,0.0,0.0,0.0,7.799399446242639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.799399446242639,46.79639667745583,7.799399446242639,0.0,0.0,0.0,0.0
vinyl octyl ether,vinyl octyl ether,*CC(*)OCCCCCCCC,156.269,3.206500000000002,0.0,0.0,0.0,6.3992218546224775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3992218546224775,51.19377483697982,6.3992218546224775,0.0,0.0,0.0,0.0
vinyl propionate,vinyl propionate,*CC(*)OC(=O)CC,100.117,0.7826,0.0,0.0,0.0,0.0,9.988313673002589,0.0,0.0,0.0,0.0,0.0,0.0,9.988313673002589,19.976627346005177,9.988313673002589,0.0,0.0,0.0,0.0
vinyl chloroacetate,vinyl chloroacetate,*CC(*)OC(=O)CCl,120.535,0.6113999999999999,0.0,0.0,0.0,0.0,8.296345459824947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.592690919649893,8.296345459824947,0.0,0.0,0.0,0.0
vinyl benzoate,vinyl benzoate,*CC(*)OC(=O)c1ccccc1,148.16099999999997,1.6864,0.0,0.0,0.0,0.0,6.749414488293142,0.0,0.0,0.0,0.0,0.0,6.749414488293142,0.0,6.749414488293142,6.749414488293142,0.0,0.0,0.0,0.0
vinyl pyridine,vinyl pyridine,*CC(*)c1ccccn1,105.14,1.6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.511128019783149,9.511128019783149,0.0,0.0,0.0,0.0
vinyl carbazole,vinyl carbazole,*CC(*)c1cccc2c1[nH]c1ccccc12,193.249,3.879100000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34934204057977,0.0,5.174671020289885,5.174671020289885,0.0,0.0,0.0,0.0
propyl acrylate,propyl acrylate,*CC(*)C(=O)OCCC,114.144,1.245,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,8.760863470703674,26.28259041211102,8.760863470703674,0.0,0.0,0.0,0.0
isopropyl acrylate,isopropyl acrylate,*CC(*)C(=O)OC(C)C,114.14399999999998,1.2434,0.0,0.0,0.0,0.0,8.760863470703674,0.0,0.0,0.0,0.0,0.0,0.0,17.521726941407348,8.760863470703674,17.521726941407348,0.0,0.0,0.0,0.0
sec butyl acrylate,sec butyl acrylate,*CC(*)C(=O)OC(C)CC,128.17099999999996,1.6335,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,15.60415382574842,15.60415382574842,15.60415382574842,0.0,0.0,0.0,0.0
propyl methacrylate,propyl methacrylate,*CC(*)(C)C(=O)OCCC,128.17099999999996,1.6351,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,15.60415382574842,23.40623073862263,0.0,7.80207691287421,0.0,0.0,0.0
isopropyl methacrylate,isopropyl methacrylate,*CC(*)(C)C(=O)OC(C)C,128.17099999999996,1.6335,0.0,0.0,0.0,0.0,7.80207691287421,0.0,0.0,0.0,0.0,0.0,0.0,23.40623073862263,7.80207691287421,7.80207691287421,7.80207691287421,0.0,0.0,0.0
